Method,MSE,MAE,RMSE,MAPE,R2,corr,time
"(2, 0, 0)",7.525749073986605,2.4391039998419175,2.743309875676936,2.022019957837204,-2.645051985950981,-0.32386256911678923,2024-07-27 18:04:11.482780
"(2, 0, 0)",7.525749073986605,2.4391039998419175,2.743309875676936,2.022019957837204,-2.645051985950981,-0.32386256911678923,2024-07-27_140822
"(0, 1, 0)",8.57531049999998,2.591699999999997,2.928363109315506,2.1491055538927446,-3.1534008456666838,1.483503088845444e-15,2024-07-27_141212
"(0, 2, 0)",12.330956199999767,2.462499999999981,3.5115461267082577,2.01029057222837,-4.97242559426367,-0.32622042550136676,2024-07-27_141231
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,1.967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141256
"(1, 1, 0)",8.744586633532236,2.6214078314745555,2.957124724040607,2.173653044282675,-3.235388738252505,0.10070879657542038,2024-07-27_141408
"(0, 0, 1)",1161.1169543117194,33.82987743060662,34.07516624041208,27.870897475838845,-561.3801190588061,0.10802696861783405,2024-07-27_141422
"(1, 0, 1)",7.476609498641499,2.4304503539608326,2.7343389509425307,2.0148515112943075,-2.6212515237060203,-0.3246979961836449,2024-07-27_141439
"(1, 1, 2)",9.080376706847707,2.6790303387923564,3.0133663412946836,2.221270767057416,-3.3980266712433806,-0.1232242697673404,2024-07-27_141501
"(0, 2, 1)",8.924010548425176,2.6526578959385154,2.987308244628461,2.1994812219814563,-3.322291648630988,0.32622042550136676,2024-07-27_141521
"(0, 2, 2)",8.687763113414421,2.6114500871956574,2.9475011642770257,2.165425634072214,-3.207866602871973,0.32622042550136676,2024-07-27_141531
"(1, 1, 1)",8.808270497658182,2.632574984082151,2.9678730595593508,2.1828785899034786,-3.2662336406168,0.08233925247470648,2024-07-27_141604
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,1.967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141815
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,1.967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141851
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,1.967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141903
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,1.967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141918
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,0.01967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_141930
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,0.01967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_142522
"(1, 0, 0)",7.139370068902086,2.373478818297013,2.6719599676832897,0.01967491615720851,-2.457911603516328,-0.32434112134581355,2024-07-27_142548
